trip_distance,fare_amount,winter,spring,summer,fall,pickup_datetime,dropoff_datetime,Holiday Proximity,ride_duration,Early morning,Morning,Afternoon,Night
1.51,7.5,0,0,1,0,2019-06-04 19:59:52,2019-06-04 20:07:22,0,0 days 00:07:30.000000000,0,0,0,0
7.08,22.5,0,1,0,0,2019-04-23 00:52:42,2019-04-23 01:12:11,0,0 days 00:19:29.000000000,1,0,0,0
0.96,8.0,1,0,0,0,2019-02-27 09:10:31,2019-02-27 09:21:48,0,0 days 00:11:17.000000000,0,1,0,0
24.3,100.0,0,0,1,0,2019-06-24 23:31:00,2019-06-25 00:45:59,0,0 days 01:14:59.000000000,0,0,0,1
1.8,9.0,1,0,0,0,2019-02-28 23:36:59,2019-02-28 23:46:35,0,0 days 00:09:36.000000000,0,0,0,1
2.4,14.5,0,1,0,0,2019-04-24 16:03:39,2019-04-24 16:24:31,0,0 days 00:20:52.000000000,0,0,1,0
1.4,7.5,0,1,0,0,2019-05-08 19:08:26,2019-05-08 19:17:12,0,0 days 00:08:46.000000000,0,0,0,0
11.74,36.5,0,0,1,0,2019-06-11 20:18:29,2019-06-11 20:53:26,0,0 days 00:34:57.000000000,0,0,0,0
1.1,5.5,0,0,1,0,2019-06-10 23:47:21,2019-06-10 23:51:32,0,0 days 00:04:11.000000000,0,0,0,1
1.31,6.5,0,0,1,0,2019-08-18 13:24:58,2019-08-18 13:31:36,0,0 days 00:06:38.000000000,0,0,1,0
0.91,9.5,1,0,0,0,2019-01-26 11:53:57,2019-01-26 12:09:14,0,0 days 00:15:17.000000000,0,1,0,0
1.5,7.5,0,0,1,0,2019-06-05 07:58:47,2019-06-05 08:07:45,0,0 days 00:08:58.000000000,0,1,0,0
2.3,9.5,1,0,0,0,2019-01-30 18:06:03,2019-01-30 18:16:47,0,0 days 00:10:44.000000000,0,0,0,0
2.56,11.5,1,0,0,0,2019-12-28 15:35:00,2019-12-28 15:47:45,0,0 days 00:12:45.000000000,0,0,1,0
1.46,8.0,0,1,0,0,2019-03-03 01:52:31,2019-03-03 02:01:43,0,0 days 00:09:12.000000000,1,0,0,0
1.88,9.0,0,1,0,0,2019-03-24 10:33:57,2019-03-24 10:44:19,0,0 days 00:10:22.000000000,0,1,0,0
11.02,32.0,1,0,0,0,2019-01-10 13:42:06,2019-01-10 14:04:10,0,0 days 00:22:04.000000000,0,0,1,0
5.05,17.0,0,0,0,1,2019-09-05 11:24:30,2019-09-05 11:39:53,1,0 days 00:15:23.000000000,0,1,0,0
2.45,13.0,0,1,0,0,2019-05-10 13:18:32,2019-05-10 13:36:06,0,0 days 00:17:34.000000000,0,0,1,0
0.67,4.5,0,1,0,0,2019-05-01 08:31:58,2019-05-01 08:35:05,0,0 days 00:03:07.000000000,0,1,0,0
0.4,4.5,0,1,0,0,2019-04-05 20:16:01,2019-04-05 20:20:20,0,0 days 00:04:19.000000000,0,0,0,0
1.0,5.5,0,1,0,0,2019-03-02 12:51:00,2019-03-02 12:55:35,0,0 days 00:04:35.000000000,0,0,0,0
